淘金ID,商品全称,淘金出厂价(CNY),淘金出厂折合(USD),Temu同类参考售价(USD),Temu预估毛利润(USD),Temu预估纯毛利率(%),Temu市场热度与销力,入驻难度与竞争度,Temu针对性运营建议
54,"1PC  单面  桃皮绒挂毯",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
53,"1PC  涤纶  门帘",12,1.67,"$14.00 - $28.00",12.92,64.6,"中高 (万圣/圣诞飙升)","低","车库/节日装饰门挂在 9-12 月属于绝对暴利爆款，主打节日差异化。"
52,"1PC  涤纶  户外天幕",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
51,"1PC  涤纶  户外窗帘",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
50,"2PCS  涤纶  汽车头枕套（双面打印）",12,1.67,"$4.99 - $12.99",2.36,29.5,"极高 (月销20,000+)","中高","2/4件套铺货测款，重量不足 100g，作为全店跑量引流爆品。"
49,"1PC  涤纶  通用矩形桌布",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
48,"1PC 涤纶  行李箱套",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
47,"复古  涤纶  方形枕套（双面打印）",12,1.67,"$4.99 - $12.99",2.36,29.5,"极高 (月销20,000+)","中高","2/4件套铺货测款，重量不足 100g，作为全店跑量引流爆品。"
46,"百搭   涤纶   单蝴蝶发夹",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
45,"1PC  涤纶  双面花园旗",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
44,"1PC  涤纶   厨房围裙",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
42,"家用 涤纶  脏衣收纳篓",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
41,"1pc  涤纶  圆形桌布",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
40,"1pc 户外折叠  沙滩椅垫",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
39,"1pc  涤纶  骑行雨披",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
38,"1PC  涤纶  休闲桌椅马蹄垫",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
36,"家用 竹木 无凹槽砧板",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
35,"家用  竹木  5件装烹饪器具套装",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
34,"女士  涤纶  大码浴裙套装",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
33,"户外     高尔夫打孔毛巾(多规格可选）",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
31,"1PC  涤纶  单人/多人沙发套",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
25,"4PCS  涤纶  浴室帘垫套装（浴帘+地垫）",12,1.67,"$15.00 - $22.00",11.16,62,"高 (月销8,000+)","低","4件套组合打包售卖，图案主打 3D 视觉/节日主题，高溢价高复购。"
24,"日用  涤纶  午睡盖毯",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
23,"3mm厚   涤纶  超大咖啡机垫",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
22,"3mm厚  橡胶  方形鼠标垫",12,1.67,"$3.50 - $11.99",2.36,29.5,"高 (月销10,000+)","中等","3mm加厚橡胶+动漫/风景满印，定位办公桌面大垫，售价 $8.99。"
21,"1PC  超细纤维  多尺寸沙滩巾",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
19,"2PCS  涤纶  厨房餐盘擦手巾",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
18,"日用  超细纤维  干发帽",12,1.67,"$2.50 - $8.99",0.6,10,"极高 (月销15,000+)","较高 (纯色价格战)","做 2-3 件套装(混色装)，售价 $8.99，稀释尾程快递费占比。"
17,"常用 涤纶 矩形眼镜布",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
13,"女士  涤纶  活结束发带",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
12,"3PCS  涤纶  舒适猫狗盖毯",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
9,"男士 涤纶  多用浴裙",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
8,"母婴 涤纶  通用隔尿垫",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
6,"女士 涤纶 浴裙套装 （浴裙+干发帽）",12,1.67,"$2.50 - $8.99",0.6,10,"极高 (月销15,000+)","较高 (纯色价格战)","做 2-3 件套装(混色装)，售价 $8.99，稀释尾程快递费占比。"
5,"1PC 帆布  拉链化妆包",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
4,"1PC  涤纶  休闲健身束口袋",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
3,"女士 涤纶 单肩沙滩包",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
2,"女士 涤纶 交叉束发带",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
1,"女士 涤纶 多功能头巾",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
