"商品ID","商品名称","类目","平台","最低供货价CNY","最高供货价CNY","最小重量g","最大重量g","发货时效","仓库","材质","工艺","SKU数","测款分","状态","置信度","推荐依据","风险","源链接","最后变化时间"
"78","1PC 金属  平顶打火机壳","打火机壳","Temu","6","6","30","30","48小时发货","广东仓自送","金属","UV打印","3","77","合规复核","100","计费重量约 30g，适合轻量测款;最低供货价 ¥6，小批量试错成本较低;材质/工艺适合图案或规格差异化（UV打印）;价格、重量、尺寸、类目和 SKU 数据完整","48小时发货，时效竞争力一般;烟具相关类目，必须先完成人群、平台和运输合规复核","https://taojinchuhai.cn/merchant/selection/goods/78","2026-08-30T14:44:07.204Z"
"77","1PC  ABS 狗狗牵引绳（可伸缩长度3M）","牵引绳","Temu","16.5","16.5","166.2","166.2","48小时发货","广东仓自送","ABS","UV打印","4","81","可优先测款","100","计费重量约 182.4g，适合轻量测款;材质/工艺适合图案或规格差异化（UV打印）;价格、重量、尺寸、类目和 SKU 数据完整","48小时发货，时效竞争力一般;最低供货价 ¥16.5，测试预算相对较高","https://taojinchuhai.cn/merchant/selection/goods/77","2026-08-30T14:44:07.204Z"
"76","1PC  金属  长方形烟灰缸","车载烟灰缸","Temu","10.5","10.5","47.6","47.6","48小时发货","广东仓自送","金属","UV打印","1","70","合规复核","100","计费重量约 47.6g，适合轻量测款;材质/工艺适合图案或规格差异化（UV打印）;价格、重量、尺寸、类目和 SKU 数据完整","48小时发货，时效竞争力一般;最低供货价 ¥10.5，测试预算相对较高;烟具相关类目，必须先完成人群、平台和运输合规复核","https://taojinchuhai.cn/merchant/selection/goods/76","2026-08-30T14:44:07.204Z"
"75","1PC  木制  迷你椭圆黑框画","照片摆台","Temu","8.5","8.5","77.2","77.2","48小时发货","广东仓自送","木材","UV打印","1","88","可优先测款","100","计费重量约 77.2g，适合轻量测款;最低供货价 ¥8.5，小批量试错成本较低;材质/工艺适合图案或规格差异化（UV打印）;价格、重量、尺寸、类目和 SKU 数据完整","48小时发货，时效竞争力一般","https://taojinchuhai.cn/merchant/selection/goods/75","2026-08-30T14:44:07.204Z"
"74","1PC 金属 马口铁盒","桌面收纳盒","Temu","5.8","5.8","37","37","48小时发货","广东仓自送","金属","UV打印","3","92","可优先测款","100","计费重量约 37g，适合轻量测款;最低供货价 ¥5.8，小批量试错成本较低;材质/工艺适合图案或规格差异化（UV打印）;价格、重量、尺寸、类目和 SKU 数据完整","48小时发货，时效竞争力一般","https://taojinchuhai.cn/merchant/selection/goods/74","2026-08-30T14:44:07.204Z"
"73","1PC  塑料  定制烟盒","定制烟盒","Temu","5.8","5.8","47","47","48小时发货","广东仓自送","塑料","UV打印","3","73","合规复核","100","计费重量约 47g，适合轻量测款;最低供货价 ¥5.8，小批量试错成本较低;材质/工艺适合图案或规格差异化（UV打印）;价格、重量、尺寸、类目和 SKU 数据完整","48小时发货，时效竞争力一般;烟具相关类目，必须先完成人群、平台和运输合规复核","https://taojinchuhai.cn/merchant/selection/goods/73","2026-08-30T14:44:07.204Z"
"72","2PCS  木制  DIY圆形编织木板","DIY编织木板","Temu","8.5","9","73.8","119.3","48小时发货","广东仓自送","木材","UV打印","2","88","可优先测款","100","计费重量约 119.3g，适合轻量测款;最低供货价 ¥8.5，小批量试错成本较低;材质/工艺适合图案或规格差异化（UV打印）;价格、重量、尺寸、类目和 SKU 数据完整","48小时发货，时效竞争力一般","https://taojinchuhai.cn/merchant/selection/goods/72","2026-08-30T14:44:07.204Z"
"71","2PCS  木制 DIY椭圆编织木板","DIY编织木板","Temu","7.5","8","52.1","139.6","48小时发货","广东仓自送","木材","UV打印","2","88","可优先测款","100","计费重量约 231.2g，适合轻量测款;最低供货价 ¥7.5，小批量试错成本较低;材质/工艺适合图案或规格差异化（UV打印）;价格、重量、尺寸、类目和 SKU 数据完整","48小时发货，时效竞争力一般","https://taojinchuhai.cn/merchant/selection/goods/71","2026-08-30T14:44:07.204Z"
"70","1PC 木制  椭圆形针盒","桌面收纳盒","Temu","6","6","28.3","28.3","48小时发货","广东仓自送","木材","UV打印","1","88","可优先测款","100","计费重量约 40.8g，适合轻量测款;最低供货价 ¥6，小批量试错成本较低;材质/工艺适合图案或规格差异化（UV打印）;价格、重量、尺寸、类目和 SKU 数据完整","48小时发货，时效竞争力一般","https://taojinchuhai.cn/merchant/selection/goods/70","2026-09-04T21:26:31.833Z"
"69","1PC 木制 方形针盒","桌面收纳盒","Temu","6","6","35.2","35.2","48小时发货","广东仓自送","木材","UV打印","1","88","可优先测款","100","计费重量约 39.1g，适合轻量测款;最低供货价 ¥6，小批量试错成本较低;材质/工艺适合图案或规格差异化（UV打印）;价格、重量、尺寸、类目和 SKU 数据完整","48小时发货，时效竞争力一般","https://taojinchuhai.cn/merchant/selection/goods/69","2026-08-30T14:44:07.204Z"
"68","1PC 帆布  手提袋(黑色提手）","收纳包","Temu","6.1","6.1","112","112","24小时发货","义乌仓自送","涤纶","热转印","1","89","可优先测款","100","计费重量约 134.4g，适合轻量测款;24 小时发货;最低供货价 ¥6.1，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","","https://taojinchuhai.cn/merchant/selection/goods/68","2026-09-02T15:38:10.686Z"
"67","1PC  桌面 木制阅读架","阅读支架","Temu","12","12","297.2","297.2","48小时发货","广东仓自送","木材","UV打印","1","77","可优先测款","100","材质/工艺适合图案或规格差异化（UV打印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 297.2g，需重点核算物流;48小时发货，时效竞争力一般;最低供货价 ¥12，测试预算相对较高","https://taojinchuhai.cn/merchant/selection/goods/67","2026-08-30T14:44:07.204Z"
"66","1PC  墙壁  装饰木架","壁架","Temu","7","8","85","138","48小时发货","广东仓自送","木材","UV打印","2","88","可优先测款","100","计费重量约 138g，适合轻量测款;最低供货价 ¥7，小批量试错成本较低;材质/工艺适合图案或规格差异化（UV打印）;价格、重量、尺寸、类目和 SKU 数据完整","48小时发货，时效竞争力一般","https://taojinchuhai.cn/merchant/selection/goods/66","2026-08-30T14:44:07.204Z"
"65","1PC 亚克力  透光烛台","亚克力桌面摆台","Temu","6.8","6.8","104","104","48小时发货","广东仓自送","亚克力","UV打印","1","78","可优先测款","100","计费重量约 104g，适合轻量测款;最低供货价 ¥6.8，小批量试错成本较低;材质/工艺适合图案或规格差异化（UV打印）;价格、重量、尺寸、类目和 SKU 数据完整","48小时发货，时效竞争力一般;易碎/易损材质，需计入包装和售后损耗","https://taojinchuhai.cn/merchant/selection/goods/65","2026-08-30T14:44:07.204Z"
"64","1PC  爱心把手  马克杯","爱心把手马克杯","Temu","7","7","364","364","24小时发货","义乌仓自送","陶瓷","UV打印","2","83","可优先测款","100","24 小时发货;最低供货价 ¥7，小批量试错成本较低;材质/工艺适合图案或规格差异化（UV打印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 364g，需重点核算物流;易碎/易损材质，需计入包装和售后损耗","https://taojinchuhai.cn/merchant/selection/goods/64","2026-08-30T14:44:07.204Z"
"63","1PC  木制  手机支架","折叠手机支架","Temu","4.8","4.8","41","41","48小时发货","广东仓自送","木材","uv打印","1","91","可优先测款","100","计费重量约 46.8g，适合轻量测款;最低供货价 ¥4.8，小批量试错成本较低;材质/工艺适合图案或规格差异化（uv打印）;价格、重量、尺寸、类目和 SKU 数据完整","48小时发货，时效竞争力一般","https://taojinchuhai.cn/merchant/selection/goods/63","2026-08-30T14:44:07.204Z"
"61","1PC   TPU定制  半包软壳（多型号可选）","透明软壳","Temu","3","3","24.11","30.31","48小时发货","广东仓自送","TPU","UV打印","12","95","可优先测款","100","计费重量约 90g，适合轻量测款;最低供货价 ¥3，小批量试错成本较低;材质/工艺适合图案或规格差异化（UV打印）;价格、重量、尺寸、类目和 SKU 数据完整","48小时发货，时效竞争力一般","https://taojinchuhai.cn/merchant/selection/goods/61","2026-08-30T14:44:07.204Z"
"60","1PC   节日  车库门帘","入户门垫","Temu","28","28","545","545","24小时发货","义乌仓自送","涤纶","热转印","1","70","普通测款","100","24 小时发货;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 545g，需重点核算物流;最低供货价 ¥28，测试预算相对较高","https://taojinchuhai.cn/merchant/selection/goods/60","2026-09-04T21:26:31.833Z"
"59","4PCS  家用  亚麻餐垫","餐垫","Temu","10.2","10.2","104","104","24小时发货","义乌仓自送","涤纶","热转印","1","86","可优先测款","100","计费重量约 240g，适合轻量测款;24 小时发货;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最低供货价 ¥10.2，测试预算相对较高","https://taojinchuhai.cn/merchant/selection/goods/59","2026-08-30T14:44:07.204Z"
"58","1PC   家用  亚麻桌旗","餐垫","Temu","5","7.5","60","115","24小时发货","义乌仓自送","涤纶","热转印","3","96","可优先测款","100","计费重量约 120g，适合轻量测款;24 小时发货;最低供货价 ¥5，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","","https://taojinchuhai.cn/merchant/selection/goods/58","2026-08-30T14:44:07.204Z"
"57","1PC  无纺布  收纳箱","收纳包","Temu","8.6","13","130","253","24小时发货","义乌仓自送","聚丙烯","热转印","3","77","可优先测款","100","24 小时发货;最低供货价 ¥8.6，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 600g，需重点核算物流","https://taojinchuhai.cn/merchant/selection/goods/57","2026-09-02T15:38:10.686Z"
"56","1PC  亚麻 拉链化妆包","化妆包","Temu","3","3","17","17","24小时发货","义乌仓自送","涤纶","热转印","1","96","可优先测款","100","计费重量约 41.6g，适合轻量测款;24 小时发货;最低供货价 ¥3，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","","https://taojinchuhai.cn/merchant/selection/goods/56","2026-08-30T14:44:07.204Z"
"55","1PC  涤纶  祈祷垫","祈祷垫","Temu","8","12","145","203","24小时发货","义乌仓自送","涤纶","热成印","3","77","可优先测款","100","24 小时发货;最低供货价 ¥8，小批量试错成本较低;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 331.2g，需重点核算物流;源站资料不足以证明明显的差异化能力","https://taojinchuhai.cn/merchant/selection/goods/55","2026-08-30T14:44:07.204Z"
"54","1PC  单面  桃皮绒挂毯","挂毯","Temu","6.2","17.7","90","320","24小时发货","义乌仓自送","涤纶","热成印","4","77","可优先测款","100","24 小时发货;最低供货价 ¥6.2，小批量试错成本较低;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 320g，需重点核算物流;源站资料不足以证明明显的差异化能力","https://taojinchuhai.cn/merchant/selection/goods/54","2026-09-02T15:38:10.686Z"
"53","1PC  涤纶  门帘","印花门帘","Temu","8.5","8.5","157.5","157.5","24小时发货","义乌仓自送","涤纶","热成印","1","77","可优先测款","100","计费重量约 157.5g，适合轻量测款;24 小时发货;最低供货价 ¥8.5，小批量试错成本较低;价格、重量、尺寸、类目和 SKU 数据完整","源站资料不足以证明明显的差异化能力","https://taojinchuhai.cn/merchant/selection/goods/53","2026-08-30T14:44:07.204Z"
"52","1PC  涤纶  户外天幕","户外天幕","Temu","15.29","21.89","330","520","48小时发货","义乌仓自送","涤纶","热转印","3","73","普通测款","100","材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 745.2g，需重点核算物流;48小时发货，时效竞争力一般;最低供货价 ¥15.29，测试预算相对较高","https://taojinchuhai.cn/merchant/selection/goods/52","2026-08-30T14:44:07.204Z"
"51","1PC  涤纶  户外窗帘","窗帘","Temu","17.6","22","355","452","48小时发货","义乌仓自送","涤纶","热成印","3","69","普通测款","100","价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 452g，需重点核算物流;48小时发货，时效竞争力一般;最低供货价 ¥17.6，测试预算相对较高;源站资料不足以证明明显的差异化能力","https://taojinchuhai.cn/merchant/selection/goods/51","2026-08-30T14:37:28.106Z"
"50","2PCS  涤纶  汽车头枕套（双面打印）","座椅头枕套","Temu","6","6","80","80","24小时发货","义乌仓自送","涤纶","热成印","1","77","可优先测款","100","计费重量约 110.4g，适合轻量测款;24 小时发货;最低供货价 ¥6，小批量试错成本较低;价格、重量、尺寸、类目和 SKU 数据完整","源站资料不足以证明明显的差异化能力","https://taojinchuhai.cn/merchant/selection/goods/50","2026-08-30T14:44:07.204Z"
"49","1PC  涤纶  通用矩形桌布","矩形桌布","Temu","8.5","20","143","340","24小时发货","义乌仓自送","涤纶","热转印","6","81","可优先测款","100","24 小时发货;最低供货价 ¥8.5，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 582.4g，需重点核算物流","https://taojinchuhai.cn/merchant/selection/goods/49","2026-08-30T14:44:07.204Z"
"48","1PC 涤纶  行李箱套","行李箱套","Temu","12","15.3","130","280","24小时发货","义乌仓自送","涤纶","热转印","4","86","可优先测款","100","24 小时发货;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 280g，需重点核算物流;最低供货价 ¥12，测试预算相对较高","https://taojinchuhai.cn/merchant/selection/goods/48","2026-08-30T14:44:07.204Z"
"47","复古  涤纶  方形枕套（双面打印）","方形抱枕套","Temu","4.3","15.4","72","264","24小时发货","义乌仓自送","涤纶","热转印","3","92","可优先测款","100","24 小时发货;最低供货价 ¥4.3，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 336.3g，需重点核算物流","https://taojinchuhai.cn/merchant/selection/goods/47","2026-08-30T14:44:07.204Z"
"46","百搭   涤纶   单蝴蝶发夹","蝴蝶发夹","Temu","4.9","4.9","25","25","24小时发货","义乌仓自送","涤纶","热转印","1","92","可优先测款","100","计费重量约 187.2g，适合轻量测款;24 小时发货;最低供货价 ¥4.9，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","","https://taojinchuhai.cn/merchant/selection/goods/46","2026-08-30T14:44:07.204Z"
"45","1PC  涤纶  双面花园旗","花园旗帜","Temu","3.6","3.6","48","48","24小时发货","义乌仓自送","涤纶","热转印","1","96","可优先测款","100","计费重量约 84g，适合轻量测款;24 小时发货;最低供货价 ¥3.6，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","","https://taojinchuhai.cn/merchant/selection/goods/45","2026-09-05T21:12:58.665Z"
"44","1PC  涤纶   厨房围裙","半身围裙","Temu","6.3","6.3","77","77","24小时发货","义乌仓自送","涤纶","热转印","1","89","可优先测款","100","计费重量约 144g，适合轻量测款;24 小时发货;最低供货价 ¥6.3，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","","https://taojinchuhai.cn/merchant/selection/goods/44","2026-09-02T15:38:10.686Z"
"42","家用 涤纶  脏衣收纳篓","脏衣篓","Temu","9.2","12.5","155","205","24小时发货","义乌仓自送","涤纶","热成印","2","61","普通测款","100","24 小时发货;最低供货价 ¥9.2，小批量试错成本较低;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 1764g，需重点核算物流;源站资料不足以证明明显的差异化能力;大件重量增加退货与履约风险","https://taojinchuhai.cn/merchant/selection/goods/42","2026-09-02T15:38:10.686Z"
"41","1pc  涤纶  圆形桌布","圆形桌布","Temu","8.8","14","90","220","24小时发货","义乌仓自送","涤纶","热转印","4","89","可优先测款","100","24 小时发货;最低供货价 ¥8.8，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 352.8g，需重点核算物流","https://taojinchuhai.cn/merchant/selection/goods/41","2026-08-30T14:44:07.204Z"
"40","1pc 户外折叠  沙滩椅垫","沙滩椅垫","Temu","81.2","81.2","1700","1700","24小时发货","义乌仓自送","海绵","热转印","1","55","谨慎评估","100","24 小时发货;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 3998.4g，需重点核算物流;最低供货价 ¥81.2，测试预算相对较高;源站资料不足以证明明显的差异化能力;大件重量增加退货与履约风险","https://taojinchuhai.cn/merchant/selection/goods/40","2026-08-30T14:44:07.204Z"
"39","1pc  涤纶  骑行雨披","沙滩椅垫","Temu","35.84","35.84","271","271","24小时发货","义乌仓自送","涤纶","热转印","1","70","普通测款","100","24 小时发货;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 665.6g，需重点核算物流;最低供货价 ¥35.84，测试预算相对较高","https://taojinchuhai.cn/merchant/selection/goods/39","2026-08-30T14:44:07.204Z"
"38","1PC  涤纶  休闲桌椅马蹄垫","沙发桌椅套","Temu","20.5","20.5","2954","2954","24小时发货","义乌仓自送","涤纶","热转印","1","62","普通测款","100","24 小时发货;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 2954g，需重点核算物流;最低供货价 ¥20.5，测试预算相对较高;大件重量增加退货与履约风险","https://taojinchuhai.cn/merchant/selection/goods/38","2026-08-30T14:44:07.204Z"
"37","1PC  涤纶  多尺寸L型地垫","入户门垫","Temu","12.3","29.5","265","545","24小时发货","义乌仓自送","涤纶","热转印","3","70","普通测款","100","24 小时发货;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 1323g，需重点核算物流;最低供货价 ¥12.3，测试预算相对较高;大件重量增加退货与履约风险","https://taojinchuhai.cn/merchant/selection/goods/37","2026-08-30T14:44:07.204Z"
"36","家用 竹木 无凹槽砧板","竹木砧板","Temu","12.35","12.35","310","310","24小时发货","义乌仓自送","竹","激光雕刻","1","82","可优先测款","100","24 小时发货;材质/工艺适合图案或规格差异化（激光雕刻）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 310g，需重点核算物流;最低供货价 ¥12.35，测试预算相对较高","https://taojinchuhai.cn/merchant/selection/goods/36","2026-08-30T14:44:07.204Z"
"35","家用  竹木  5件装烹饪器具套装","竹木砧板","Temu","12","12","230","230","24小时发货","义乌仓自送","竹","激光雕刻","1","86","可优先测款","100","计费重量约 230g，适合轻量测款;24 小时发货;材质/工艺适合图案或规格差异化（激光雕刻）;价格、重量、尺寸、类目和 SKU 数据完整","最低供货价 ¥12，测试预算相对较高","https://taojinchuhai.cn/merchant/selection/goods/35","2026-08-30T14:44:07.204Z"
"34","女士  涤纶  大码浴裙套装","浴裙套装","Temu","5.6","29.5","100","700","24小时发货","义乌仓自送","涤纶","热转印","3","81","可优先测款","100","24 小时发货;最低供货价 ¥5.6，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 700g，需重点核算物流","https://taojinchuhai.cn/merchant/selection/goods/34","2026-08-30T14:44:07.204Z"
"33","户外     高尔夫打孔毛巾(多规格可选）","高尔夫毛巾","Temu","6","20.5","110","430","24小时发货","义乌仓自送","涤纶","热转印","3","89","可优先测款","100","24 小时发货;最低供货价 ¥6，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 430g，需重点核算物流","https://taojinchuhai.cn/merchant/selection/goods/33","2026-08-30T14:44:07.204Z"
